Loop ID,EDI Segment,EDI Data Element Name,User Option,Length,Enumeration Values,Mapping Logic OR  DFF Position,DFF Field Description,Mapping Comments,Final Review Comments
2100,DTM,Coverage Expiration Date,S,,,,,,
2100,DTM01,Date Time Qualifier,R,"Min - 3
Max - 3",036 Expiration,Hardcode as “036”,NA,Coverage Expiration Date (DTM*036) should be populated only if one of the adjustment codes on the Line level is “27”,
2100,DTM02,Expiration Date,R,"Min - 8
Max - 8",,Map this value from the DFF index 2.042,CoverageExpiration,Date format is YYYYMMDD,
2100,DTM,Claim Received Date,S,,,,,,
2100,DTM01,Date Time Qualifier,R,"Min - 3
Max - 3",050 Received,Hardcode as “050”,NA,,
2100,DTM02,Received Date,R,"Min - 8
Max - 8",,Map this value from the DFF index 2.051,Claim Received Date,Date format is YYYYMMDD,
2100,PER,Claim Contact Information,S,,,,,,
2100,PER01,Contact Function Code,R,"Min - 2
Max - 2",CX Payers Claim Office,NA,NA,,
2100,PER02,Name,S,"Min - 1
Max - 60",,NA,NA,,
2100,PER03,Communication Number Qualifier,R,"Min - 2
Max - 2","EM Electronic Mail
FX Facsimile
TE Telephone",NA,NA,,
2100,PER04,Communication Number,R,"Min - 1
Max - 256",,NA,NA,,
2100,PER05,Communication Number Qualifier,S,"Min - 2
Max - 2","EM Electronic Mail
EX Telephone Extension
FX Facsimile
TE Telephone",NA,NA,,
2100,PER06,Communication Number,S,"Min - 1
Max - 256",,NA,NA,,
2100,PER07,Communication Number Qualifier,S,"Min - 2
Max - 2",EX Telephone Extension,NA,NA,,
2100,PER08,Communication Number,S,"Min - 1
Max - 256",,NA,NA,,
2100,AMT,Claim Supplemental Information,S,,,,,,
2100,6,Amount Qualifier Code,R,"Min - 1
Max - 3","AU Coverage Amount
D8 Discount Amount
DY Per Day Limit
F5 Patient Amount Paid
I Interest
NL Negative Ledger Balance
T Tax
T2 Total Claim Before Taxes
ZK Federal Medicare or Medicaid Payment Mandate -
Category 1
ZL Federal Medicare or Medicaid Payment Mandate -
Category 2
ZM Federal Medicare or Medicaid Payment Mandate -
Category 3
ZN Federal Medicare or Medicaid Payment Mandate -
Category 4
ZO Federal Medicare or Medicaid Payment Mandate -
Category 52","Hardcode as ""AU""",NA,,
2100,AMT02,Claim Supplemental Information Amount,R,"Min - 1
Max - 18",,Map this value from the DFF index 2.053,Prompt Pay Discount,This mapping required when the amount is greater than zero.,
2100,AMT01,Amount Qualifier Code,R,"Min - 1
Max - 3","AU Coverage Amount
D8 Discount Amount
DY Per Day Limit
F5 Patient Amount Paid
I Interest
NL Negative Ledger Balance
T Tax
T2 Total Claim Before Taxes
ZK Federal Medicare or Medicaid Payment Mandate -
Category 1
ZL Federal Medicare or Medicaid Payment Mandate -
Category 2
ZM Federal Medicare or Medicaid Payment Mandate -
Category 3
ZN Federal Medicare or Medicaid Payment Mandate -
Category 4
ZO Federal Medicare or Medicaid Payment Mandate -
Category 52","Hardcode as ""I""",NA,,
2100,AMT02,Claim Supplemental Information Amount,R,"Min - 1
Max - 18",,Map this value from the DFF index 2.052,Interest Amounts,,
2100,QTY,Claim Supplemental Information Quantity,S,,,,,,
2100,QTY01,Quantity Qualifier,R,"Min - 2
Max - 2","CA Covered - Actual
CD Co-insured - Actual
LA Life-time Reserve - Actual
LE Life-time Reserve - Estimated
NE Non-Covered - Estimated
NR Not Replaced Blood Units
OU Outlier Days
PS Prescription
VS Visits
ZK Federal Medicare or Medicaid Payment Mandate -
Category 1
ZL Federal Medicare or Medicaid Payment Mandate -
Category 2
ZM Federal Medicare or Medicaid Payment Mandate -
Category 3
ZN Federal Medicare or Medicaid Payment Mandate -
Category 4
ZO Federal Medicare or Medicaid Payment Mandate -
Category 5",NA,NA,,
2100,QTY02,Quantity,R,"Min - 1
Max - 15",,NA,NA,,
LOOP 2110 Service Payment Information,,,,,,,,,
2110,SVC,SERVICE PAYMENT INFORMATION,S,,,,,,
2110,SVC01,"COMPOSITE MEDICAL PROCEDURE
IDENTIFIER",R,"Min -
Max -",,NA,NA,,
2110,SVC01-1,Product/Service ID Qualifier,R,"Min - 2
Max - 2","AD American Dental Association Codes
ER Jurisdiction Specific Procedure and Supply Codes
HC Health Care Financing Administration Common
HP Health Insurance Prospective Payment System
IV Home Infusion EDI Coalition (HIEC) Product/Service
Code
N4 National Drug Code in 5-4-2 Format
N6 National Health Related Item Code
NU National Uniform Billing Committee (NUBC) UB92
Codes
UI U.P.C. Consumer Package Code (1-5-5)
WK Advanced Billing Concepts (ABC) Codes","If the procedure code(3.007) is present in DFF, then we need to Hardcode as ""HC""
Else If the procedure code (3.007) is blank and revenue code is present in index 3.034 then we need hardcode as ""NU""",NA,,
2110,SVC01-2,Product/Service ID,R,"Min - 1
Max - 48",,"If the procedure code is present Map this value from the DFF index 3.007
Else If the procedure code is blank and revenue code is present Map the value from the DFF index 3.034",ProcedureCode,,
2110,SVC01-3,PROCEDURE MODIFIER,S,"Min - 2
Max - 2",,Map this value from the DFF index 3.031,Procedure Modifier,,
2110,SVC01-4,PROCEDURE MODIFIER 2,S,"Min - 2
Max - 2",,Map this value from the DFF index 3.031.1,Procedure Modifier 2,,
2110,SVC01-5,PROCEDURE MODIFIER 3,S,"Min - 2
Max - 2",,Map this value from the DFF index 3.031.2,Procedure Modifier 3,,
2110,SVC01-6,PROCEDURE MODIFIER 4,S,"Min - 2
Max - 2",,Map this value from the DFF index 3.031.3,Procedure Modifier 4,,
2110,SVC01-7,Procedure Code Description,NA,NA,NA,NA,NA,,
2110,SVC02,Monetary Amount,R,"Min - 1
Max - 18",,Map this value from the DFF index 3.010,ChargeAmount,,
2110,SVC03,Monetary Amount,R,"Min - 1
Max - 18",,Map this value from the DFF index 3.019,PaidAmount,,
2110,SVC04,NUBC Revenue Code,S,"Min - 1
Max - 48",,When the procedure code is present and revenue code is present then Map SVC04 from the DFF index 3.034,Revenue Code,,
2110,SVC05,Units of Service Paid Count,S,"Min - 1
Max - 15",,Map this value from the DFF index 3.024,Units,The SVC05(Paid Units) required when the paid units of service are different than one if not required,
2110,SVC06-1,PRODUCT/SERVICE ID QUALIFIER,R,"Min - 2
Max - 2","AD American Dental Association Codes
ER Jurisdiction Specific Procedure and Supply Codes
HC Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
HP Health Insurance Prospective Payment System
(HIPPS) Skilled Nursing Facility Rate Code
IV Home Infusion EDI Coalition (HIEC) Product/Service
Code
N4 National Drug Code
NU National Uniform Billing Committee (NUBC) UB92
Codes
WK Advanced Billing Concepts (ABC) Codes",Map this value from the DFF index 3.043,"Place holder for Submitted Product/Service id qualifier

Mapped based on getPaymentDetailsByIDResponse/paymentDetails/heexns:paymentExtract/eopPayment/eopClaimDetails/claim/claimLine/claimLine/serviceCode",Map SVC06 only when the valuein 3.007 is different from 3.044 (Service code),"PSD Ticket#502, 500, 499 based upon grooming call dated 11/7 , we are working along with IPlus team to analyse the feasiblity"
2110,SVC06-2,Procedure Code,R,"Min - 1
Max - 48",,Map this value from the DFF index 3.044,"Place holder for Submitted ProcedureCode

getPaymentDetailsByIDResponse/paymentDetails/heexns:paymentExtract/eopPayment/eopClaimDetails/claim/claimLine/claimLine/serviceCode",,
2110,SVC06-3,Procedure Modifier 1,S,"Min - 2
Max - 2",,Map this value from the DFF index 3.045,"Place holder for Submitted Procedure Modifier

getPaymentDetailsByIDResponse/paymentDetails/heexns:paymentExtract/eopPayment/eopClaimDetails/claim/claimLine/claimLine/modifierList",,
2110,SVC06-4,Procedure Modifier 2,S,"Min - 2
Max - 2",,Map this value from the DFF index 3.046,"Place holder for Submitted Procedure Modifier 2

getPaymentDetailsByIDResponse/paymentDetails/heexns:paymentExtract/eopPayment/eopClaimDetails/claim/claimLine/claimLine/modifierList",,
2110,SVC06-5,Procedure Modifier 3,S,"Min - 2
Max - 2",,Map this value from the DFF index 3.047,"Place holder for Submitted Procedure Modifier 3

getPaymentDetailsByIDResponse/paymentDetails/heexns:paymentExtract/eopPayment/eopClaimDetails/claim/claimLine/claimLine/modifierList",,
2110,SVC06-6,Procedure Modifier 4,S,"Min - 2
Max - 2",,Map this value from the DFF index 3.048,"Place holder for Submitted Procedure Modifier 4

getPaymentDetailsByIDResponse/paymentDetails/heexns:paymentExtract/eopPayment/eopClaimDetails/claim/claimLine/claimLine/modifierList",,
2110,SVC06-7,Procedure Code Description,S,"Min - 1
Max - 80",,NA,NA,,
2110,SVC07,Original Units of Service Count,S,"Min - 1
Max - 15",,Map this value from the DFF index 3.036,Original Units,The SVC07(Submitted Units) required when the paid unites of service provided in SVC05 is different from the submitted units of service from the original claim.,
2110,DTM,Service Start Date,S,,,,,,
2110,DTM01,Date Time Qualifier,R,"Min - 3
Max - 3",150 Service Period Start,"Hardcode as ""150""",NA,"1) Format the date to the below format ""YYYYMMDD""
2) If 3.005 and 3.006 same then map the DTM segment with qualifier 472(Rows 364 and 365).
Else If 3.005 is not equal to 3.006 Map the DTM segment with qualifiers 150 and 151(Rows 358 till 362)",
2110,DTM02,Service Date,R,"Min - 8
Max - 8",,Map this value from the DFF index 3.005,FromDate,,
2110,DTM,Service End Date,S,,,NA,NA,,
2110,DTM01,Date Time Qualifier,R,"Min - 3
Max - 3",151 Service Period End,"Hardcode as ""151""",NA,,
2110,DTM02,Service End Date,R,"Min - 8
Max - 8",,Map this value from the DFF index 3.006,ToDate,,
2110,DTM,Service Date,S,,,,,,
2110,DTM01,Date Time Qualifier,R,"Min - 3
Max - 3",472 Service,"Hardcode as ""472""",NA,,
2110,DTM02,Service Date,R,"Min - 8
Max - 8",,"Date format ""YYYYMMDD""",NA,,
2110,CAS,Service Adjustment,S,,,,,,
2110,CAS01,Claim Adjustment Group Code,R,"Min - 1
Max - 2","CO Contractual Obligations
OA Other adjustments
PI Payor Initiated Reductions",Map this value from the DFF index 4.011,CAGC,,
2110,CAS02,Claim Adjustment Reason Code,R,"Min - 1
Max - 5",,Map this value from the DFF index 4.009,CARC,,
2110,CAS03,Monetary Amount,R,"Min - 1
Max - 18",,Map this value from the DFF index 4.008,835 Adjusted Amount,,
2110,CAS04,Quantity,S,"Min - 1
Max - 15",,NA,NA,,
2110,CAS05,Claim Adjustment Reason Code,S,"Min - 1
Max - 2",,Map the same logic present in Rows 367 and 368,Map the same logic present in Rows 367 and 368,,
2110,CAS06,Monetary Amount,S,"Min - 1
Max - 18",,,,,
2110,CAS07,Quantity,S,"Min - 1
Max - 15",,NA,NA,,
2110,CAS08,Claim Adjustment Reason Code,S,"Min - 1
Max - 2",,Map the same logic present in Rows 367 and 368,Map the same logic present in Rows 367 and 368,,
2110,CAS09,Monetary Amount,S,"Min - 1
Max - 18",,,,,
2110,CAS10,Quantity,S,"Min - 1
Max - 15",,NA,NA,,
2110,CAS11,Claim Adjustment Reason Code,S,"Min - 1
Max - 2",,Map the same logic present in Rows 367 and 368,Map the same logic present in Rows 367 and 368,,
2110,CAS12,Monetary Amount,S,"Min - 1
Max - 18",,,,,
2110,CAS13,Quantity,S,"Min - 1
Max - 15",,NA,NA,,
2110,CAS14,Claim Adjustment Reason Code,S,"Min - 1
Max - 2",,Map the same logic present in Rows 367 and 368,Map the same logic present in Rows 367 and 368,,
2110,CAS15,Monetary Amount,S,"Min - 1
Max - 18",,,,,
2110,CAS16,Quantity,S,"Min - 1
Max - 15",,NA,NA,,
2110,CAS17,Claim Adjustment Reason Code,S,"Min - 1
Max - 2",,Map the same logic present in Rows 367 and 368,Map the same logic present in Rows 367 and 368,,
2110,CAS18,Monetary Amount,S,"Min - 1
Max - 18",,,,,
2110,CAS19,Quantity,S,"Min - 1
Max - 15",,NA,NA,,
2110,REF,Service Identification,S,,,,,,
2110,REF01,Reference Identification Qualifier,R,"Min - 2
Max - 3","1S Ambulatory Patient Group (APG) Number
APC Ambulatory Payment Classification
BB Authorization Number
E9 Attachment Code
G1 Prior Authorization Number
G3 Predetermination of Benefits Identification Number
LU Location Number
RB Rate code number",NA,NA,,
2110,REF02,Provider Identifier,R,"Min - 1
Max - 50",,NA,NA,,
2110,REF,Line Item Control Number,S,,,,,,
2110,REF01,Reference Identification Qualifier,R,"Min - 2
Max - 3",6R Provider Control Number,"Hardcode as ""6R""",NA,,
2110,REF02,Reference Identification,R,"Min - 1
Max - 50",,Map this value from the DFF index 3.037,Line Item Control Number,,
2110,REF,Rendering Provider Information,S,,,,,,
2110,REF01,Reference Identification Number,R,"Min - 2
Max - 3","0B State License Number
1A Blue Cross Provider Number
1B Blue Shield Provider Number
1C Medicare Provider Number
1D Medicaid Provider Number
1G Provider UPIN Number
1H CHAMPUS Identification Number
1J Facility ID Number
D3 National Council for Prescription Drug Programs
G2 Provider Commercial Number
HPI Centers for Medicare and Medicaid Services
National Provider Identifier
SY Social Security Number
TJ Federal Taxpayer’s Identification Number",NA,NA,,
2110,REF02,Rendering Provider Federal ID,R,"Min - 1
Max - 50",,NA,NA,"Corresponding identifier, Federal ID differs from provider to provider.",
2110,REF,HealthCare Policy Identification,S,,,,,,
2110,REF01,Reference Identification Qualifier,R,"Min - 2
Max - 3",0K Policy Form Identifying Number,NA,NA,,
2110,REF02,Reference Identification,R,"Min - 1
Max - 50",,NA,NA,,
2110,AMT,Service Supplemental Amount,S,,,,,,
2110,AMT01,Amount Qualifier Code,R,"Min - 1
Max - 3","B6 Allowed - Actual
KH Deduction Amount
T Tax
T2 Total Claim Before Taxes
ZK Federal Medicare or Medicaid Payment Mandate -
Category 1
ZL Federal Medicare or Medicaid Payment Mandate -
Category 2
ZM Federal Medicare or Medicaid Payment Mandate -
Category 3
ZN Federal Medicare or Medicaid Payment Mandate -
Category 4
ZO Federal Medicare or Medicaid Payment Mandate -
Category 5","Hardcode as ""B6""",NA,,
2110,AMT02,Service Line Allowed Amount,R,"Min - 1
Max - 18",,Map this value from the DFF index 3.033,Allowed Amount,This mapping required when the amount is greater than zero.,
2110,QTY,Service Supplemental Quantity,S,,,,,,
2110,QTY01,Quantity Qualifier,R,"Min - 2
Max - 2","ZK Federal Medicare or Medicaid Payment Mandate -
Category 1
ZL Federal Medicare or Medicaid Payment Mandate -
Category 2
ZM Federal Medicare or Medicaid Payment Mandate -
Category 3
ZN Federal Medicare or Medicaid Payment Mandate -
Category 4
ZO Federal Medicare or Medicaid Payment Mandate -
Category 5",NA,NA,,
2110,QTY02,Quantity,R,"Min - 1
Max - 15",,NA,NA,,
2110,LQ,Health Care Remark Code,S,,,,,,
2110,LQ01,Service Line Remittance Remark Code 1,R,"Min - 1
Max - 3","HE Claim Payment Remark Codes
RX National Council for Prescription Drug Programs","Hardcode as ""HE""",NA,,
2110,LQ02,Service Line Remittance Remark Code 2,R,"Min - 1
Max - 30",,Map this value from the DFF index 4.01,RARC,,
2110,PLB,Provider Adjustment,S,,,,,,
2110,PLB01,Provider Identifier,R,"Min - 1
Max - 50",,Map this value from the DFF index 1.033,Payee NPI,,
2110,PLB02,Fiscal Period Date,R,"Min - 8
Max - 8",,System Date YYYYMMDD format - December 31 of current year for example - 20231231,NA,"Last day of provider’s fiscal year(Financial Year) in YYYYMMDD format; if not known, December 31 of current year. (adjustment for the whole bill payment, monthly rebate , over payment )",
2110,PLB03-1,PROVIDER ADJUSTMENT REASON CODE,R,"Min - 2
Max - 2",20,Map this value from the DFF index 4.007,ProviderAdjustmentCode,,
2110,PLB03-2,Provider Adjustment Identifier,R,"Min - 1
Max - 50",,Map this value from the DFF index 4.013,PLB Identifier,,
2110,PLB04,Provider Adjustment Amount,R,"Min - 1
Max - 18",,Map this value from the DFF index 4.008,835 Adjusted Amount,,
2110,PLB05,Provider Adjustment Identifier,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB05-1,PROVIDER ADJUSTMENT REASON CODE,S,"Min - 2
Max - 2",,NA,NA,,
2110,PLB05-2,Reference Identification,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB06,Monetary Amount,S,"Min - 1
Max - 18",,NA,NA,,
2110,PLB07,ADJUSTMENT IDENTIFIER,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB07-1,Adjustment Reason Code,S,"Min - 2
Max - 2",,NA,NA,,
2110,PLB07-2,Reference Identification,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB08,Monetary Amount,S,"Min - 1
Max - 18",,NA,NA,,
2110,PLB09,ADJUSTMENT IDENTIFIER,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB09-1,Adjustment Reason Code,S,"Min - 2
Max - 2",,NA,NA,,
2110,PLB09-2,Reference Identification,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB010,Monetary Amount,S,"Min - 1
Max - 18",,NA,NA,,
2110,PLB11,ADJUSTMENT IDENTIFIER,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB11-1,Adjustment Reason Code,S,"Min - 2
Max - 2",,NA,NA,,
2110,PLB11-2,Reference Identification,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB12,Monetary Amount,S,"Min - 1
Max - 18",,NA,NA,,
2110,PLB13,ADJUSTMENT IDENTIFIER,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB13-1,Adjustment Reason Code,S,"Min - 2
Max - 2",,NA,NA,,
2110,PLB13-2,Reference Identification,S,"Min - 1
Max - 50",,NA,NA,,
2110,PLB14,Monetary Amount,S,"Min - 1
Max - 18",,NA,NA,,
SE - TRANSACTION SET TRAILER,,,,,,,,,
,SE,Transaction Set Trailer,R,,,,,,
,SE01,Number Of Included Segments,R,"Min - 1
Max - 10",,"Total number of segments included in a transaction set including ST and SE
segments",NA,,
,SE02,Transaction Set Control Number,R,"Min -
Max -",,STO2 Value,NA,,
,GE,Functional Group Trailer,R,,,,,,
,GE01,Number of Transaction Sets Included,R,"Min -
Max -",,"Total number of transaction sets included in the functional group or interchange
(transmission) group terminated by the trailer containing this data element",NA,,
,GE02,Group Control Number,R,"Min -
Max -",,GS06 Value,NA,,
Interchange Control Loop (End),,,,,,,,,
,IEA,Interchange Control Trailer,R,,,,,,
,IEA01,Number of Included Functional Groups,R,"Min -
Max -",,A count of the number of functional groups included in an interchange,NA,,
,IEA02,Interchange Control Number,R,"Min -
Max -",,ISA13 Value,NA,,
